shift_date & time,shift_no,asset_id,count_ne,set_tpi,production,doff,run_time,idle,powerfail,ukg,kwh,shift_datetime,shift_date,shift_time,machine_group,production_per_min,doff_per_min,kwh_per_min,idle_per_min,ukg_per_min,over_all_time,production_per_min_group_mean,doff_per_min_group_mean,kwh_per_min_group_mean,idle_per_min_group_mean,ukg_per_min_group_mean,is_anomaly,anomaly_details
3/27/2025 6:00,1,RF 02,19.2,14.3,653.3,63,411,5,1,0.78,509.574,2025-03-27 06:00:00,2025-03-27,06:00:00,19.2_14.3,1.59,0.153,1.24,0.012,0.002,480,1.59,0.153,1.24,0.012,0.002,False,
3/28/2025 6:00,1,RF 02,19.2,14.3,569.5,86,369,24,1,0.75,427.125,2025-03-28 06:00:00,2025-03-28,06:00:00,19.2_14.3,1.543,0.233,1.158,0.065,0.002,480,1.543,0.233,1.158,0.065,0.002,False,
3/29/2025 6:00,1,RF 02,19.2,14.3,683.0,56,423,0,1,0.78,532.74,2025-03-29 06:00:00,2025-03-29,06:00:00,19.2_14.3,1.615,0.132,1.259,0.0,0.002,480,1.615,0.132,1.259,0.0,0.002,False,
3/30/2025 6:00,1,RF 02,19.2,14.3,659.7,58,418,2,2,0.77,507.969,2025-03-30 06:00:00,2025-03-30,06:00:00,19.2_14.3,1.578,0.139,1.215,0.005,0.002,480,1.578,0.139,1.215,0.005,0.002,False,
3/31/2025 6:00,1,RF 02,19.2,14.3,674.8,41,422,16,1,0.78,526.344,2025-03-31 06:00:00,2025-03-31,06:00:00,19.2_14.3,1.599,0.097,1.247,0.038,0.002,480,1.599,0.097,1.247,0.038,0.002,False,
3/25/2025 14:00,2,RF 02,19.2,14.3,554.3,114,360,4,2,0.8,443.44,2025-03-25 14:00:00,2025-03-25,14:00:00,19.2_14.3,1.54,0.317,1.232,0.011,0.002,480,1.54,0.317,1.232,0.011,0.002,False,
3/26/2025 14:00,2,RF 02,19.2,14.3,722.0,32,447,0,1,0.78,563.16,2025-03-26 14:00:00,2025-03-26,14:00:00,19.2_14.3,1.615,0.072,1.26,0.0,0.002,480,1.615,0.072,1.26,0.0,0.002,False,
3/27/2025 14:00,2,RF 02,19.2,14.3,697.2,43,436,0,1,0.77,536.844,2025-03-27 14:00:00,2025-03-27,14:00:00,19.2_14.3,1.599,0.099,1.231,0.0,0.002,480,1.599,0.099,1.231,0.0,0.002,False,
3/28/2025 14:00,2,RF 02,19.2,14.3,687.9,53,426,0,1,0.77,529.683,2025-03-28 14:00:00,2025-03-28,14:00:00,19.2_14.3,1.615,0.124,1.243,0.0,0.002,480,1.615,0.124,1.243,0.0,0.002,False,
3/29/2025 14:00,2,RF 02,19.2,14.3,660.1,67,412,0,1,0.78,514.878,2025-03-29 14:00:00,2025-03-29,14:00:00,19.2_14.3,1.602,0.163,1.25,0.0,0.002,480,1.602,0.163,1.25,0.0,0.002,False,
3/30/2025 14:00,2,RF 02,19.2,14.3,701.5,43,436,0,1,0.79,554.185,2025-03-30 14:00:00,2025-03-30,14:00:00,19.2_14.3,1.609,0.099,1.271,0.0,0.002,480,1.609,0.099,1.271,0.0,0.002,False,
3/31/2025 14:00,2,RF 02,19.2,14.3,719.1,31,447,1,1,0.78,560.898,2025-03-31 14:00:00,2025-03-31,14:00:00,19.2_14.3,1.609,0.069,1.255,0.002,0.002,480,1.609,0.069,1.255,0.002,0.002,False,
3/25/2025 22:00,3,RF 02,19.2,14.3,698.8,37,438,4,1,0.77,538.076,2025-03-25 22:00:00,2025-03-25,22:00:00,19.2_14.3,1.595,0.084,1.228,0.009,0.002,480,1.595,0.084,1.228,0.009,0.002,False,
3/26/2025 22:00,3,RF 02,19.2,14.3,661.1,34,424,21,1,0.76,502.436,2025-03-26 22:00:00,2025-03-26,22:00:00,19.2_14.3,1.559,0.08,1.185,0.05,0.002,480,1.559,0.08,1.185,0.05,0.002,False,
